PPV,Person,Distance
44,1327,7.57
19,1328,5.82
40,1329,2.54
70,1330,1.95
0,1331,3.95
58,1332,6.78
40,1333,7.48
44,1334,5.9
40,1335,3.44
71,1336,1.56
44,1337,3.79
19,1338,1.23
0,1339,5.15
40,1340,2.11
44,1341,3.32
58,1342,1.47
58,1343,6.89
19,1344,1.91
5,1345,2.96
44,1346,7.64
31,1347,1.88
0,1348,4.47
44,1349,1.51
15,1350,2.07
40,1351,2.53
40,1352,2.6
40,1353,2.34
40,1354,3.89
0,1355,4.93
31,1356,4.5
71,1357,2.97
58,1358,0.91
44,1359,4.44
44,1360,4.57
0,1361,5.94
31,1362,2.16
97,1363,1.28
19,1364,0.87
44,1365,1.22
40,1366,0.76
70,1367,6.72
97,1368,5.18
40,1369,3.22
31,1370,4.09
70,1371,2.4
44,1372,6.04
58,1373,4.88
0,1374,2.39
0,1375,3.34
58,1376,5.02
19,1377,5.25
40,1378,8.24
40,1379,1.42
0,1380,3.02
44,1381,3.86
0,1382,2.11
40,1383,1.82
0,1384,6.07
44,1385,4.97
19,1386,1.12
0,1387,4.1
19,1388,1.68
0,1389,5.0
0,1390,4.81
0,1391,6.31
44,1392,5.09
40,1393,3.28
19,1394,1.79
97,1395,3.37
40,1396,2.68
44,1397,3.62
19,1398,2.66
19,1399,2.51
44,1400,6.51
0,1401,2.72
2,1402,2.18
70,1403,3.91
19,1404,3.0
0,1405,5.96
58,1406,4.61
31,1407,2.07
0,1408,3.69
19,1409,0.73
40,1410,4.56
70,1411,7.84
0,1412,5.05
2,1413,0.89
44,1414,7.99
0,1415,5.55
44,1416,5.72
0,1417,4.22
40,1418,8.54
31,1419,6.37
15,1420,0.83
40,1421,2.67
31,1422,2.96
19,1423,1.72
19,1424,3.38
40,1425,2.35
70,1426,1.35
70,1427,5.24
39,1428,1.53
44,1429,5.07
0,1430,2.53
58,1431,4.73
19,1432,7.05
97,1433,4.25
31,1434,4.27
19,1435,3.79
44,1436,8.26
40,1437,1.27
2,1438,1.0
40,1439,4.87
0,1440,4.4
31,1441,6.14
0,1442,5.42
0,1443,4.5
40,1444,8.19
70,1445,5.39
44,1446,5.56
40,1447,3.32
58,1448,3.27
44,1449,0.97
71,1450,2.29
58,1451,3.14
31,1452,3.09
58,1453,5.89
2,1454,1.85
0,1455,2.97
19,1456,1.42
0,1457,5.92
44,1458,4.67
70,1459,2.37
44,1460,3.21
40,1461,3.97
44,1462,2.96
70,1463,6.76
40,1464,3.66
0,1465,4.24
70,1466,1.55
0,1467,5.88
5,1468,2.98
58,1469,6.43
31,1470,3.49
15,1471,1.86
0,1472,4.54
0,1473,6.48
40,1474,1.41
44,1475,6.13
44,1476,4.45
40,1477,1.51
15,1478,1.54
44,1479,1.05
58,1480,3.8
19,1481,2.42
97,1482,1.79
0,1483,4.14
0,1484,3.57
44,1485,5.61
0,1486,7.82
0,1487,3.54
19,1488,2.36
40,1489,2.73
40,1490,2.06
40,1491,4.89
58,1492,2.83
58,1493,2.07
44,1494,3.65
44,1495,3.42
92,1496,3.32
44,1497,5.41
70,1498,2.85
58,1499,2.17
0,1500,0.93
40,1501,1.53
31,1502,5.66
70,1503,1.6
40,1504,7.37
58,1505,2.51
44,1506,4.05
44,1507,5.51
31,1508,6.76
31,1509,3.19
44,1510,4.46
2,1511,3.41
19,1512,7.0
70,1513,5.25
39,1514,2.16
70,1515,2.86
70,1516,3.4
58,1517,1.56
0,1518,4.83
0,1519,3.22
40,1520,0.97
40,1521,1.62
0,1522,5.39
19,1523,1.64
19,1524,3.8
31,1525,5.66
44,1526,7.2
40,1527,7.71
92,1528,2.1
40,1529,7.46
19,1530,1.36
70,1531,4.77
58,1532,2.67
71,1533,1.74
70,1534,3.14
0,1535,4.3
97,1536,4.38
92,1537,3.99
92,1538,1.87
40,1539,2.6
44,1540,5.6
70,1541,3.51
44,1542,2.21
31,1543,6.93
19,1544,2.1
19,1545,1.82
40,1546,6.3
44,1547,1.6
44,1548,5.5
44,1549,3.3
2,1550,1.31
97,1551,5.42
31,1552,5.27
0,1553,4.04
19,1554,3.38
5,1555,1.21
44,1556,5.47
0,1557,4.74
31,1558,3.43
44,1559,4.41
70,1560,1.02
31,1561,5.84
40,1562,3.37
0,1563,4.07
19,1564,2.49
58,1565,5.37
0,1566,2.43
19,1567,2.97
97,1568,1.67
40,1569,7.81
0,1570,2.85
97,1571,1.19
0,1572,2.41
0,1573,2.04
92,1574,2.56
0,1575,2.16
58,1576,2.58
44,1577,2.89
97,1578,3.19
70,1579,7.09
31,1580,4.32
39,1581,2.22
44,1582,3.7
31,1583,5.9
44,1584,5.12
2,1585,3.89
44,1586,3.12
0,1587,2.89
0,1588,5.63
2,1589,4.04
0,1590,4.22
0,1591,2.07
58,1592,2.29
44,1593,2.56
19,1594,2.77
40,1595,3.7
44,1596,5.34
0,1597,3.14
0,1598,5.51
0,1599,2.82
92,1600,3.6
44,1601,4.28
19,1602,4.51
19,1603,1.74
40,1604,3.04
0,1605,4.76
0,1606,4.93
40,1607,0.64
15,1608,2.98
0,1609,4.48
15,1610,0.98
70,1611,3.24
0,1612,5.06
31,1613,2.27
97,1614,3.46
58,1615,3.56
2,1616,4.45
40,1617,4.84
31,1618,5.16
40,1619,2.33
0,1620,5.72
2,1621,2.12
58,1622,4.69
0,1623,5.13
44,1624,5.61
40,1625,3.61
31,1626,3.22
58,1627,4.97
92,1628,2.38
19,1629,3.23
44,1630,7.04
40,1631,5.97
0,1632,4.88
40,1633,8.42
2,1634,5.49
40,1635,2.21
70,1636,0.95
0,1637,2.17
40,1638,0.62
0,1639,1.76
19,1640,2.04
44,1641,5.17
44,1642,4.54
0,1643,3.14
19,1644,2.55
71,1645,1.44
